,obstacle_positions
14768,"[[1, 294, -1, 292], [10, 54, 8, 52], [4, 145, 2, 143]]"
14769,"[[3, 286, 1, 284], [2, 56, 0, 54], [1, 297, -1, 295]]"
14770,[]
14771,"[[1, 144, -1, 142], [0, 55, -2, 53], [2, 271, 0, 269], [2, 50, 0, 48]]"
14772,[]
14773,"[[0, 243, -2, 241]]"
14774,"[[5, 179, 3, 177], [3, 16, 1, 14], [6, 227, 4, 225], [1, 246, -1, 244], [0, 10, -2, 8], [0, 140, -2, 138]]"
14775,"[[19, 71, 17, 69], [19, 192, 17, 190], [5, 9, 3, 7], [10, 269, 8, 267], [12, 46, 10, 44], [11, 47, 9, 45]]"
14776,"[[2, 216, 0, 214], [1, 182, -1, 180], [1, 140, -1, 138], [2, 113, 0, 111]]"
14777,"[[2, 199, 0, 197], [0, 120, -2, 118], [1, 268, -1, 266], [2, 19, 0, 17], [0, 108, -2, 106], [5, 168, 3, 166], [0, 147, -2, 145]]"
14778,[]
14779,"[[8, 161, 6, 159], [11, 222, 9, 220], [7, 232, 5, 230], [7, 12, 5, 10], [6, 231, 4, 229], [7, 68, 5, 66], [7, 197, 5, 195], [2, 83, 0, 81], [2, 105, 0, 103]]"
14780,"[[4, 45, 2, 43], [1, 133, -1, 131], [4, 270, 2, 268], [2, 174, 0, 172], [2, 67, 0, 65], [0, 178, -2, 176], [3, 51, 1, 49], [4, 246, 2, 244]]"
14781,"[[3, 225, 1, 223], [15, 180, 13, 178], [8, 255, 6, 253], [3, 277, 1, 275], [7, 23, 5, 21], [16, 210, 14, 208], [15, 2, 13, 0]]"
14782,"[[3, 70, 1, 68], [1, 79, -1, 77], [2, 299, 0, 297], [3, 278, 1, 276], [4, 69, 2, 67], [1, 126, -1, 124], [11, 221, 9, 219], [8, 3, 6, 1]]"
14783,"[[2, 227, 0, 225], [2, 50, 0, 48], [0, 257, -2, 255], [2, 81, 0, 79], [0, 134, -2, 132], [1, 96, -1, 94]]"
14784,"[[1, 233, -1, 231], [4, 181, 2, 179]]"
14785,"[[5, 137, 3, 135], [4, 229, 2, 227], [16, 25, 14, 23], [9, 190, 7, 188], [7, 191, 5, 189], [12, 258, 10, 256], [10, 251, 8, 249], [8, 79, 6, 77], [8, 228, 6, 226], [17, 179, 15, 177]]"
14786,"[[11, 50, 9, 48], [2, 159, 0, 157]]"
14787,"[[2, 190, 0, 188], [0, 158, -2, 156], [1, 182, -1, 180], [2, 180, 0, 178], [0, 92, -2, 90], [0, 232, -2, 230], [3, 5, 1, 3], [0, 118, -2, 116]]"
14788,[]
14789,"[[2, 162, 0, 160], [0, 192, -2, 190], [1, 260, -1, 258], [3, 118, 1, 116], [0, 120, -2, 118], [2, 50, 0, 48], [2, 175, 0, 173], [2, 287, 0, 285], [2, 56, 0, 54], [3, 216, 1, 214]]"
14790,"[[1, 278, -1, 276]]"
14791,"[[8, 87, 6, 85]]"
14792,[]
14793,"[[6, 104, 4, 102], [0, 262, -2, 260], [2, 274, 0, 272], [7, 152, 5, 150], [0, 235, -2, 233], [3, 165, 1, 163]]"
14794,[]
14795,"[[1, 144, -1, 142], [6, 17, 4, 15], [10, 159, 8, 157], [6, 125, 4, 123], [4, 173, 2, 171], [2, 194, 0, 192], [3, 191, 1, 189], [1, 214, -1, 212]]"
14796,"[[3, 264, 1, 262], [7, 267, 5, 265]]"
14797,"[[6, 133, 4, 131]]"
14798,"[[0, 75, -2, 73]]"
14799,[]
14800,"[[11, 50, 9, 48]]"
14801,"[[1, 277, -1, 275], [1, 217, -1, 215], [9, 156, 7, 154], [6, 192, 4, 190], [9, 211, 7, 209], [8, 131, 6, 129]]"
14802,"[[4, 53, 2, 51], [4, 266, 2, 264], [4, 7, 2, 5], [4, 190, 2, 188], [3, 43, 1, 41], [4, 208, 2, 206], [4, 4, 2, 2], [2, 208, 0, 206], [4, 75, 2, 73]]"
14803,"[[1, 215, -1, 213], [3, 78, 1, 76], [0, 156, -2, 154], [1, 18, -1, 16], [3, 170, 1, 168], [0, 192, -2, 190], [3, 98, 1, 96]]"
14804,"[[9, 106, 7, 104], [16, 30, 14, 28], [8, 230, 6, 228], [9, 92, 7, 90], [5, 64, 3, 62], [15, 258, 13, 256], [7, 216, 5, 214], [7, 88, 5, 86], [5, 175, 3, 173]]"
14805,"[[3, 4, 1, 2], [2, 238, 0, 236], [0, 75, -2, 73], [1, 52, -1, 50], [1, 140, -1, 138], [2, 277, 0, 275], [0, 62, -2, 60], [3, 110, 1, 108]]"
14806,"[[4, 17, 2, 15], [0, 205, -2, 203], [1, 70, -1, 68], [3, 38, 1, 36], [4, 271, 2, 269], [0, 227, -2, 225]]"
14807,"[[5, 97, 3, 95], [2, 202, 0, 200]]"
14808,"[[9, 271, 7, 269], [15, 198, 13, 196]]"
14809,"[[1, 38, -1, 36], [1, 135, -1, 133]]"
14810,"[[6, 267, 4, 265], [2, 159, 0, 157], [1, 81, -1, 79], [3, 32, 1, 30], [3, 7, 1, 5], [4, 279, 2, 277], [3, 113, 1, 111], [7, 177, 5, 175]]"
14811,[]
14812,"[[3, 161, 1, 159], [13, 148, 11, 146], [9, 177, 7, 175], [2, 176, 0, 174], [7, 159, 5, 157], [5, 176, 3, 174], [3, 228, 1, 226], [11, 216, 9, 214]]"
14813,[]
14814,"[[1, 200, -1, 198], [11, 51, 9, 49], [2, 109, 0, 107], [13, 56, 11, 54], [6, 293, 4, 291], [10, 98, 8, 96], [4, 93, 2, 91]]"
14815,"[[5, 33, 3, 31], [16, 85, 14, 83], [3, 180, 1, 178], [11, 241, 9, 239], [4, 149, 2, 147], [1, 277, -1, 275], [7, 297, 5, 295], [16, 165, 14, 163]]"
14816,"[[0, 12, -2, 10], [1, 279, -1, 277], [2, 281, 0, 279], [0, 268, -2, 266], [2, 251, 0, 249], [2, 33, 0, 31], [3, 211, 1, 209], [0, 72, -2, 70]]"
14817,"[[6, 153, 4, 151], [4, 118, 2, 116], [12, 13, 10, 11], [12, 261, 10, 259], [4, 250, 2, 248], [12, 139, 10, 137], [0, 188, -2, 186], [8, 24, 6, 22], [8, 4, 6, 2], [4, 55, 2, 53]]"
14818,"[[15, 170, 13, 168], [13, 64, 11, 62], [13, 7, 11, 5]]"
14819,"[[5, 181, 3, 179], [13, 22, 11, 20], [4, 182, 2, 180], [0, 255, -2, 253], [6, 297, 4, 295], [2, 252, 0, 250], [1, 17, -1, 15], [10, 189, 8, 187]]"
14820,"[[7, 123, 5, 121], [1, 139, -1, 137], [4, 145, 2, 143], [8, 274, 6, 272], [2, 102, 0, 100], [4, 263, 2, 261], [0, 293, -2, 291], [6, 70, 4, 68], [8, 239, 6, 237], [2, 288, 0, 286]]"
14821,[]
14822,"[[2, 134, 0, 132], [0, 296, -2, 294], [4, 7, 2, 5], [0, 161, -2, 159], [5, 146, 3, 144], [2, 33, 0, 31], [4, 134, 2, 132], [5, 55, 3, 53], [3, 58, 1, 56], [4, 152, 2, 150]]"
14823,"[[2, 9, 0, 7], [12, 219, 10, 217], [12, 10, 10, 8], [9, 14, 7, 12], [5, 283, 3, 281], [9, 198, 7, 196]]"
14824,"[[0, 286, -2, 284], [14, 170, 12, 168]]"
14825,"[[8, 179, 6, 177]]"
14826,"[[5, 136, 3, 134], [6, 133, 4, 131], [9, 69, 7, 67], [13, 96, 11, 94], [14, 15, 12, 13], [0, 105, -2, 103], [16, 179, 14, 177], [11, 293, 9, 291]]"
14827,"[[4, 18, 2, 16], [1, 191, -1, 189], [8, 27, 6, 25], [4, 86, 2, 84], [3, 201, 1, 199]]"
14828,"[[4, 159, 2, 157], [1, 78, -1, 76], [3, 99, 1, 97], [3, 173, 1, 171], [1, 110, -1, 108], [0, 246, -2, 244], [2, 51, 0, 49]]"
14829,"[[7, 296, 5, 294], [8, 84, 6, 82], [0, 144, -2, 142], [4, 151, 2, 149], [5, 29, 3, 27], [1, 245, -1, 243]]"
14830,"[[6, 245, 4, 243], [7, 110, 5, 108], [7, 95, 5, 93], [1, 131, -1, 129], [8, 23, 6, 21]]"
14831,"[[5, 133, 3, 131], [15, 187, 13, 185], [8, 68, 6, 66], [5, 165, 3, 163]]"
14832,[]
14833,"[[0, 170, -2, 168], [2, 263, 0, 261], [2, 187, 0, 185], [1, 184, -1, 182], [2, 124, 0, 122]]"
14834,"[[5, 62, 3, 60], [11, 7, 9, 5]]"
14835,"[[3, 205, 1, 203], [6, 55, 4, 53], [1, 25, -1, 23], [8, 59, 6, 57], [6, 145, 4, 143], [3, 255, 1, 253]]"
14836,"[[0, 274, -2, 272], [1, 103, -1, 101], [4, 93, 2, 91], [4, 275, 2, 273], [2, 172, 0, 170], [3, 109, 1, 107]]"
14837,"[[5, 247, 3, 245], [1, 64, -1, 62], [11, 211, 9, 209]]"
14838,"[[2, 279, 0, 277], [7, 192, 5, 190]]"
14839,"[[0, 116, -2, 114], [3, 179, 1, 177], [0, 107, -2, 105], [0, 56, -2, 54], [2, 262, 0, 260], [1, 124, -1, 122], [2, 222, 0, 220], [1, 118, -1, 116], [0, 3, -2, 1], [2, 120, 0, 118]]"
14840,"[[9, 113, 7, 111], [9, 263, 7, 261], [1, 79, -1, 77], [5, 228, 3, 226], [14, 68, 12, 66], [14, 166, 12, 164], [15, 268, 13, 266], [10, 203, 8, 201], [4, 264, 2, 262]]"
14841,"[[4, 163, 2, 161], [0, 294, -2, 292]]"
14842,"[[19, 97, 17, 95], [11, 273, 9, 271], [7, 261, 5, 259]]"
14843,"[[4, 73, 2, 71], [10, 212, 8, 210], [9, 222, 7, 220], [3, 284, 1, 282], [10, 80, 8, 78], [2, 61, 0, 59]]"
14844,"[[0, 217, -2, 215], [2, 234, 0, 232], [0, 91, -2, 89], [0, 36, -2, 34], [2, 213, 0, 211], [1, 168, -1, 166]]"
14845,"[[0, 115, -2, 113], [1, 122, -1, 120], [0, 166, -2, 164]]"
14846,"[[7, 104, 5, 102], [7, 69, 5, 67], [1, 134, -1, 132], [8, 17, 6, 15], [2, 212, 0, 210], [8, 247, 6, 245]]"
14847,"[[9, 191, 7, 189], [8, 214, 6, 212], [1, 103, -1, 101], [8, 92, 6, 90], [0, 132, -2, 130], [5, 269, 3, 267], [1, 216, -1, 214]]"
14848,[]
14849,"[[3, 95, 1, 93], [1, 116, -1, 114], [3, 266, 1, 264], [4, 137, 2, 135], [3, 246, 1, 244], [2, 43, 0, 41], [2, 234, 0, 232], [0, 291, -2, 289]]"
14850,"[[1, 296, -1, 294], [8, 255, 6, 253], [7, 113, 5, 111], [10, 105, 8, 103]]"
14851,"[[0, 198, -2, 196], [1, 150, -1, 148], [1, 59, -1, 57], [2, 138, 0, 136], [2, 93, 0, 91], [3, 83, 1, 81], [3, 115, 1, 113]]"
14852,"[[9, 224, 7, 222], [6, 245, 4, 243], [9, 75, 7, 73], [6, 167, 4, 165], [9, 28, 7, 26], [8, 166, 6, 164], [1, 82, -1, 80], [3, 141, 1, 139], [4, 71, 2, 69], [14, 183, 12, 181]]"
14853,"[[1, 275, -1, 273], [2, 110, 0, 108], [2, 246, 0, 244], [7, 218, 5, 216]]"
14854,"[[1, 108, -1, 106], [1, 287, -1, 285], [3, 136, 1, 134], [5, 245, 3, 243], [6, 23, 4, 21], [3, 22, 1, 20]]"
14855,[]
14856,"[[4, 88, 2, 86], [12, 80, 10, 78], [3, 104, 1, 102], [0, 29, -2, 27], [3, 244, 1, 242], [5, 86, 3, 84], [1, 277, -1, 275]]"
14857,"[[0, 213, -2, 211], [9, 231, 7, 229], [1, 109, -1, 107], [8, 273, 6, 271]]"
14858,"[[3, 130, 1, 128], [6, 25, 4, 23], [5, 276, 3, 274]]"
14859,"[[0, 37, -2, 35], [4, 132, 2, 130], [3, 195, 1, 193]]"
14860,"[[0, 206, -2, 204], [0, 202, -2, 200], [2, 171, 0, 169], [1, 263, -1, 261], [1, 287, -1, 285], [2, 120, 0, 118], [0, 112, -2, 110]]"
14861,"[[5, 283, 3, 281], [4, 122, 2, 120], [5, 226, 3, 224], [3, 141, 1, 139], [2, 171, 0, 169], [0, 94, -2, 92], [1, 62, -1, 60], [0, 188, -2, 186], [5, 221, 3, 219]]"
14862,"[[1, 240, -1, 238], [3, 24, 1, 22], [4, 293, 2, 291]]"
14863,"[[6, 249, 4, 247], [1, 208, -1, 206], [7, 55, 5, 53], [9, 192, 7, 190], [1, 137, -1, 135], [4, 38, 2, 36], [11, 91, 9, 89], [10, 21, 8, 19], [2, 158, 0, 156], [7, 16, 5, 14]]"
14864,"[[0, 114, -2, 112], [1, 61, -1, 59], [6, 144, 4, 142], [0, 102, -2, 100], [6, 84, 4, 82], [2, 109, 0, 107], [3, 21, 1, 19], [0, 86, -2, 84], [5, 259, 3, 257], [2, 159, 0, 157]]"
14865,[]
14866,"[[17, 297, 15, 295], [18, 279, 16, 277], [15, 36, 13, 34], [9, 115, 7, 113], [7, 267, 5, 265], [7, 274, 5, 272], [13, 226, 11, 224]]"
14867,"[[3, 38, 1, 36], [0, 266, -2, 264], [2, 218, 0, 216]]"
14868,"[[4, 106, 2, 104], [13, 262, 11, 260], [10, 221, 8, 219], [11, 211, 9, 209], [7, 5, 5, 3], [2, 195, 0, 193], [10, 197, 8, 195], [6, 226, 4, 224], [0, 45, -2, 43], [9, 274, 7, 272]]"
14869,"[[10, 203, 8, 201], [14, 19, 12, 17], [2, 99, 0, 97], [1, 20, -1, 18], [6, 70, 4, 68], [11, 222, 9, 220]]"
14870,"[[3, 292, 1, 290], [13, 151, 11, 149]]"
14871,"[[2, 132, 0, 130], [1, 138, -1, 136], [2, 26, 0, 24], [2, 117, 0, 115], [1, 49, -1, 47], [1, 155, -1, 153], [0, 147, -2, 145], [0, 285, -2, 283], [2, 261, 0, 259]]"
14872,"[[5, 30, 3, 28]]"
14873,"[[6, 296, 4, 294], [5, 108, 3, 106], [0, 84, -2, 82], [6, 295, 4, 293], [5, 40, 3, 38], [3, 163, 1, 161], [2, 6, 0, 4], [5, 244, 3, 242], [5, 225, 3, 223], [2, 41, 0, 39]]"
14874,"[[1, 252, -1, 250], [1, 295, -1, 293], [1, 138, -1, 136], [6, 239, 4, 237], [3, 143, 1, 141], [6, 265, 4, 263], [2, 77, 0, 75]]"
14875,"[[11, 122, 9, 120], [8, 233, 6, 231]]"
14876,[]
14877,"[[11, 67, 9, 65], [3, 23, 1, 21]]"
14878,"[[3, 149, 1, 147], [3, 180, 1, 178], [0, 131, -2, 129], [3, 210, 1, 208], [7, 100, 5, 98], [8, 194, 6, 192], [4, 247, 2, 245]]"
14879,"[[4, 262, 2, 260], [4, 130, 2, 128], [11, 19, 9, 17]]"
14880,"[[11, 222, 9, 220], [11, 69, 9, 67], [0, 120, -2, 118], [8, 297, 6, 295], [11, 225, 9, 223], [12, 189, 10, 187]]"
14881,"[[9, 38, 7, 36], [6, 136, 4, 134], [4, 229, 2, 227], [5, 299, 3, 297], [9, 153, 7, 151], [10, 284, 8, 282]]"
14882,"[[5, 164, 3, 162], [0, 18, -2, 16], [2, 56, 0, 54], [4, 293, 2, 291], [6, 52, 4, 50], [2, 4, 0, 2], [6, 112, 4, 110]]"
14883,"[[3, 191, 1, 189], [2, 259, 0, 257], [6, 187, 4, 185]]"
14884,"[[2, 6, 0, 4], [0, 249, -2, 247], [3, 60, 1, 58], [3, 48, 1, 46], [3, 191, 1, 189], [3, 133, 1, 131]]"
14885,"[[4, 176, 2, 174], [7, 41, 5, 39], [3, 23, 1, 21], [4, 14, 2, 12], [0, 185, -2, 183], [8, 289, 6, 287], [8, 214, 6, 212], [4, 121, 2, 119], [4, 266, 2, 264], [2, 192, 0, 190]]"
14886,"[[13, 180, 11, 178], [7, 238, 5, 236], [9, 6, 7, 4], [7, 6, 5, 4], [7, 182, 5, 180]]"
14887,"[[4, 18, 2, 16], [13, 146, 11, 144], [13, 228, 11, 226], [8, 202, 6, 200], [3, 101, 1, 99], [7, 95, 5, 93], [0, 47, -2, 45]]"
14888,"[[5, 98, 3, 96], [1, 130, -1, 128], [5, 299, 3, 297]]"
14889,"[[3, 272, 1, 270], [1, 258, -1, 256], [5, 177, 3, 175], [1, 136, -1, 134], [5, 37, 3, 35], [2, 78, 0, 76], [0, 107, -2, 105], [1, 246, -1, 244], [1, 67, -1, 65]]"
14890,"[[4, 181, 2, 179], [4, 295, 2, 293], [5, 151, 3, 149], [1, 190, -1, 188], [2, 251, 0, 249]]"
14891,[]
14892,"[[1, 175, -1, 173], [12, 162, 10, 160], [13, 233, 11, 231], [16, 77, 14, 75], [13, 68, 11, 66]]"
14893,"[[8, 272, 6, 270]]"
14894,"[[5, 8, 3, 6], [10, 183, 8, 181], [12, 274, 10, 272], [8, 292, 6, 290], [10, 36, 8, 34], [0, 48, -2, 46], [3, 178, 1, 176], [5, 290, 3, 288], [4, 284, 2, 282], [3, 204, 1, 202]]"
14895,"[[8, 296, 6, 294], [4, 209, 2, 207], [4, 133, 2, 131], [7, 28, 5, 26], [7, 57, 5, 55], [2, 85, 0, 83]]"
14896,"[[3, 134, 1, 132]]"
14897,"[[2, 272, 0, 270], [4, 38, 2, 36], [3, 19, 1, 17], [9, 148, 7, 146], [10, 298, 8, 296], [9, 246, 7, 244], [7, 197, 5, 195], [0, 199, -2, 197], [4, 227, 2, 225]]"
14898,"[[2, 154, 0, 152], [1, 69, -1, 67], [2, 2, 0, 0], [1, 46, -1, 44], [0, 280, -2, 278]]"
14899,"[[7, 63, 5, 61], [5, 218, 3, 216], [2, 210, 0, 208], [4, 204, 2, 202], [4, 245, 2, 243], [0, 266, -2, 264], [0, 127, -2, 125], [4, 10, 2, 8], [0, 40, -2, 38]]"
14900,"[[10, 38, 8, 36], [2, 294, 0, 292], [5, 7, 3, 5], [8, 71, 6, 69], [5, 89, 3, 87]]"
14901,[]
14902,"[[8, 190, 6, 188], [15, 164, 13, 162], [16, 270, 14, 268], [0, 245, -2, 243], [4, 166, 2, 164], [11, 283, 9, 281]]"
14903,"[[13, 89, 11, 87], [10, 10, 8, 8]]"
14904,"[[0, 153, -2, 151], [2, 20, 0, 18], [0, 111, -2, 109], [0, 251, -2, 249], [1, 63, -1, 61], [2, 185, 0, 183], [0, 98, -2, 96], [2, 142, 0, 140], [1, 60, -1, 58], [2, 298, 0, 296]]"
14905,"[[18, 199, 16, 197], [11, 294, 9, 292], [3, 277, 1, 275], [1, 3, -1, 1], [5, 86, 3, 84]]"
14906,"[[2, 49, 0, 47], [2, 148, 0, 146], [2, 45, 0, 43], [1, 218, -1, 216], [0, 186, -2, 184], [1, 209, -1, 207]]"
14907,"[[7, 223, 5, 221], [1, 93, -1, 91], [7, 215, 5, 213], [5, 243, 3, 241], [4, 235, 2, 233], [2, 103, 0, 101], [6, 167, 4, 165], [3, 65, 1, 63], [3, 8, 1, 6], [2, 149, 0, 147]]"
14908,"[[1, 137, -1, 135], [1, 181, -1, 179], [13, 175, 11, 173], [19, 262, 17, 260]]"
14909,"[[7, 148, 5, 146], [7, 169, 5, 167], [2, 231, 0, 229], [10, 189, 8, 187], [11, 96, 9, 94], [9, 2, 7, 0], [6, 7, 4, 5], [5, 149, 3, 147], [5, 187, 3, 185]]"
14910,"[[5, 210, 3, 208], [13, 170, 11, 168], [13, 51, 11, 49], [2, 94, 0, 92]]"
14911,"[[4, 236, 2, 234], [10, 87, 8, 85]]"
14912,"[[9, 157, 7, 155], [9, 173, 7, 171], [13, 111, 11, 109], [6, 82, 4, 80]]"
14913,"[[3, 46, 1, 44], [0, 287, -2, 285], [4, 159, 2, 157]]"
14914,"[[3, 86, 1, 84], [0, 124, -2, 122], [1, 105, -1, 103], [3, 71, 1, 69], [2, 276, 0, 274], [2, 197, 0, 195], [3, 293, 1, 291]]"
14915,"[[9, 186, 7, 184], [7, 11, 5, 9], [13, 118, 11, 116]]"
14916,"[[4, 138, 2, 136], [0, 211, -2, 209], [5, 124, 3, 122]]"
14917,"[[1, 144, -1, 142], [1, 252, -1, 250], [6, 121, 4, 119], [4, 105, 2, 103], [6, 60, 4, 58], [1, 22, -1, 20], [5, 241, 3, 239], [5, 185, 3, 183]]"
14918,"[[6, 214, 4, 212], [4, 199, 2, 197], [10, 30, 8, 28], [4, 110, 2, 108], [10, 19, 8, 17]]"
14919,"[[7, 98, 5, 96], [3, 112, 1, 110]]"
14920,"[[12, 89, 10, 87]]"
14921,"[[10, 233, 8, 231]]"
14922,[]
14923,"[[4, 70, 2, 68], [3, 147, 1, 145], [4, 58, 2, 56], [5, 135, 3, 133], [0, 195, -2, 193]]"
14924,"[[2, 295, 0, 293], [1, 20, -1, 18], [0, 134, -2, 132], [1, 267, -1, 265]]"
14925,"[[7, 80, 5, 78], [10, 192, 8, 190], [13, 275, 11, 273], [8, 267, 6, 265], [5, 224, 3, 222]]"
14926,"[[9, 167, 7, 165]]"
14927,"[[13, 170, 11, 168]]"
14928,"[[1, 190, -1, 188], [3, 90, 1, 88], [0, 81, -2, 79], [3, 75, 1, 73], [2, 74, 0, 72], [4, 197, 2, 195], [4, 47, 2, 45], [5, 297, 3, 295]]"
14929,"[[1, 108, -1, 106], [8, 216, 6, 214], [6, 255, 4, 253], [2, 113, 0, 111]]"
14930,"[[7, 5, 5, 3], [3, 231, 1, 229], [0, 158, -2, 156], [1, 101, -1, 99], [9, 118, 7, 116], [13, 179, 11, 177], [6, 54, 4, 52], [12, 292, 10, 290], [6, 212, 4, 210]]"
14931,"[[1, 154, -1, 152], [3, 90, 1, 88], [0, 274, -2, 272], [1, 293, -1, 291], [1, 243, -1, 241], [2, 123, 0, 121], [1, 295, -1, 293], [0, 159, -2, 157], [1, 299, -1, 297]]"
14932,"[[1, 3, -1, 1], [6, 103, 4, 101], [10, 129, 8, 127]]"
14933,"[[3, 168, 1, 166], [12, 112, 10, 110], [5, 114, 3, 112], [12, 225, 10, 223]]"
14934,"[[7, 204, 5, 202], [7, 244, 5, 242]]"
14935,[]
14936,"[[2, 224, 0, 222], [0, 180, -2, 178], [0, 182, -2, 180], [0, 258, -2, 256], [0, 83, -2, 81], [2, 143, 0, 141], [0, 82, -2, 80]]"
14937,"[[3, 82, 1, 80], [2, 82, 0, 80]]"
14938,"[[4, 221, 2, 219]]"
14939,"[[1, 7, -1, 5], [6, 283, 4, 281], [2, 121, 0, 119], [5, 92, 3, 90], [4, 265, 2, 263], [5, 226, 3, 224]]"
14940,"[[2, 183, 0, 181], [2, 157, 0, 155], [2, 120, 0, 118], [0, 186, -2, 184]]"
14941,"[[1, 156, -1, 154], [11, 277, 9, 275], [9, 225, 7, 223], [10, 120, 8, 118], [16, 287, 14, 285], [0, 71, -2, 69], [0, 31, -2, 29], [8, 121, 6, 119], [5, 212, 3, 210], [7, 252, 5, 250]]"
14942,"[[0, 300, -2, 298], [9, 131, 7, 129], [4, 229, 2, 227], [11, 272, 9, 270], [8, 182, 6, 180], [11, 260, 9, 258], [11, 155, 9, 153]]"
14943,"[[3, 2, 1, 0], [2, 212, 0, 210], [2, 70, 0, 68], [2, 239, 0, 237], [0, 240, -2, 238], [1, 90, -1, 88], [1, 94, -1, 92], [0, 297, -2, 295], [0, 163, -2, 161], [2, 297, 0, 295]]"
14944,"[[1, 183, -1, 181], [5, 121, 3, 119], [3, 211, 1, 209], [6, 108, 4, 106], [0, 169, -2, 167], [3, 244, 1, 242], [7, 75, 5, 73], [7, 33, 5, 31]]"
14945,"[[10, 292, 8, 290], [9, 81, 7, 79], [1, 271, -1, 269], [14, 4, 12, 2], [0, 22, -2, 20]]"
14946,"[[4, 59, 2, 57], [0, 198, -2, 196], [0, 206, -2, 204], [1, 74, -1, 72], [0, 160, -2, 158], [4, 40, 2, 38], [3, 89, 1, 87]]"
14947,"[[16, 202, 14, 200], [8, 267, 6, 265], [10, 274, 8, 272], [1, 226, -1, 224], [6, 221, 4, 219], [15, 255, 13, 253], [6, 104, 4, 102], [6, 266, 4, 264], [10, 243, 8, 241], [2, 170, 0, 168]]"
14948,"[[0, 235, -2, 233], [0, 97, -2, 95], [1, 194, -1, 192], [1, 143, -1, 141]]"
14949,"[[4, 249, 2, 247], [0, 111, -2, 109], [6, 295, 4, 293], [1, 203, -1, 201], [0, 240, -2, 238], [6, 200, 4, 198]]"
14950,"[[3, 59, 1, 57], [17, 225, 15, 223], [19, 288, 17, 286], [18, 198, 16, 196], [2, 293, 0, 291], [16, 132, 14, 130], [13, 99, 11, 97], [17, 200, 15, 198]]"
14951,"[[16, 179, 14, 177]]"
14952,"[[8, 228, 6, 226], [14, 25, 12, 23], [1, 85, -1, 83], [4, 220, 2, 218], [12, 45, 10, 43]]"
14953,"[[0, 248, -2, 246], [2, 165, 0, 163], [1, 173, -1, 171], [3, 80, 1, 78], [0, 151, -2, 149]]"
14954,"[[14, 27, 12, 25], [11, 247, 9, 245], [4, 80, 2, 78], [5, 142, 3, 140], [10, 29, 8, 27], [10, 190, 8, 188], [8, 112, 6, 110], [11, 66, 9, 64], [4, 2, 2, 0]]"
14955,"[[5, 71, 3, 69], [9, 237, 7, 235], [11, 113, 9, 111], [4, 176, 2, 174]]"
14956,[]
14957,"[[1, 121, -1, 119], [1, 37, -1, 35], [0, 280, -2, 278], [0, 34, -2, 32], [4, 6, 2, 4], [1, 97, -1, 95]]"
14958,"[[10, 227, 8, 225], [1, 44, -1, 42], [3, 42, 1, 40], [2, 128, 0, 126], [1, 269, -1, 267], [4, 207, 2, 205]]"
14959,"[[3, 24, 1, 22], [1, 53, -1, 51], [0, 295, -2, 293], [4, 4, 2, 2], [4, 179, 2, 177], [5, 140, 3, 138]]"
14960,"[[9, 96, 7, 94], [7, 66, 5, 64], [6, 264, 4, 262], [7, 16, 5, 14]]"
14961,"[[4, 52, 2, 50], [2, 15, 0, 13], [1, 63, -1, 61], [1, 52, -1, 50], [4, 172, 2, 170], [9, 145, 7, 143], [6, 64, 4, 62], [7, 67, 5, 65]]"
14962,"[[4, 261, 2, 259], [4, 101, 2, 99], [0, 97, -2, 95], [1, 193, -1, 191], [1, 165, -1, 163]]"
14963,"[[2, 136, 0, 134], [2, 44, 0, 42], [2, 208, 0, 206], [3, 83, 1, 81], [0, 28, -2, 26]]"
14964,"[[9, 66, 7, 64], [7, 262, 5, 260], [5, 202, 3, 200]]"
14965,"[[6, 96, 4, 94], [4, 91, 2, 89], [6, 210, 4, 208], [2, 257, 0, 255], [0, 61, -2, 59], [5, 112, 3, 110]]"
14966,[]
14967,"[[4, 213, 2, 211], [2, 204, 0, 202], [4, 221, 2, 219], [6, 133, 4, 131]]"
14968,"[[10, 202, 8, 200], [1, 70, -1, 68], [12, 3, 10, 1], [10, 299, 8, 297], [5, 3, 3, 1], [1, 84, -1, 82], [2, 91, 0, 89]]"
14969,"[[9, 15, 7, 13], [2, 49, 0, 47], [9, 77, 7, 75], [13, 156, 11, 154], [2, 214, 0, 212]]"
14970,"[[5, 37, 3, 35], [1, 126, -1, 124], [6, 42, 4, 40], [5, 72, 3, 70], [8, 61, 6, 59], [0, 143, -2, 141], [4, 197, 2, 195]]"
14971,"[[5, 266, 3, 264], [2, 124, 0, 122]]"
14972,"[[6, 78, 4, 76], [6, 267, 4, 265], [15, 175, 13, 173], [15, 255, 13, 253], [10, 96, 8, 94], [7, 300, 5, 298]]"
14973,"[[7, 175, 5, 173], [1, 284, -1, 282], [12, 56, 10, 54], [10, 138, 8, 136], [7, 291, 5, 289], [3, 87, 1, 85]]"
14974,"[[6, 225, 4, 223], [10, 253, 8, 251], [5, 76, 3, 74], [3, 223, 1, 221], [17, 226, 15, 224], [1, 262, -1, 260], [7, 274, 5, 272], [13, 2, 11, 0], [11, 238, 9, 236], [10, 259, 8, 257]]"
14975,"[[0, 247, -2, 245], [4, 45, 2, 43], [6, 208, 4, 206], [1, 288, -1, 286], [1, 213, -1, 211]]"
